State Code,County Code,Site Number,Parameter Code,Parameter Name,POC,Latitude,Longitude,Datum,First Year of Data,Last Sample Date,Monitor Type,Networks,Reporting Agency,PQAO,Collecting Agency,Exclusions,Monitoring Objective,Last Method Code,Last Method,Measurement Scale,Measurement Scale Definition,NAAQS Primary Monitor,QA Primary Monitor,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Tribe Name,Extraction Date
48,135,0002,42602,Nitrogen dioxide (NO2),2,31.872347,-102.352921,WGS84,1976,1980-12-17,OTHER,,Texas Commission On Environmental Quality,Texas Commission On Environmental Quality,Texas Commission On Environmental Quality,,UNKNOWN,084,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,,,,,,3008 E. UNIVERSITY BLVD. & PARKER PARK,Texas,Ector,Odessa,"Odessa, TX",,2025-11-25
08,047,0003,44201,Ozone,1,39.792519,-105.49127,NAD83,2019,2025-09-30,SLAMS,,Colorado Department of Public Health And Environment,Colorado Department of Public Health And Environment,Colorado Department of Public Health And Environment,,POPULATION EXPOSURE,087,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,URBAN SCALE,4 KM TO 50 KM,Y,,Black Hawk,"831 Miners Mesa Road, Black Hawk Colorado 80422",Colorado,Gilpin,Black Hawk,"Denver-Aurora-Lakewood, CO",,2025-11-25
04,013,9997,42101,Carbon monoxide,1,33.503833,-112.095767,WGS84,1999,2025-09-30,SLAMS,NCORE,Arizona Department Of Environmental Quality,Arizona Department Of Environmental Quality,Arizona Department Of Environmental Quality,,POPULATION EXPOSURE,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU / T300U,NEIGHBORHOOD,500 M TO 4KM,,,JLG SUPERSITE,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2025-11-25
56,025,0001,42602,Nitrogen dioxide (NO2),3,42.851064,-106.325088,WGS84,1974,1975-11-02,SLAMS,,"Wyoming Air Quality Division, Dept Of Environmental Quality","Wyoming Air Quality Division, Dept Of Environmental Quality",,,POPULATION EXPOSURE,084,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,NEIGHBORHOOD,500 M TO 4KM,,,Casper SLAMS site,Casper -CITY COUNTY BLDG CENTER AND C STREETS,Wyoming,Natrona,Casper,"Casper, WY",,2025-11-25
21,111,0014,42401,Sulfur dioxide,1,38.219778,-85.625785,WGS84,1972,1978-03-27,OTHER,,Kentucky Division For Air Quality,Kentucky Division For Air Quality,Kentucky Division For Air Quality,,UNKNOWN,091,GAS-BUBBLER - PARAROSANILINE-SULFAMIC ACID,,,,,,SHELL SER STA HIKES LANE & TAYLORSVILLE,Kentucky,Jefferson,Louisville,"Louisville/Jefferson County, KY-IN",,2025-11-25
19,013,0007,42401,Sulfur dioxide,2,42.516375,-92.334074,WGS84,1978,1981-11-06,SLAMS,,Unknown,Unknown,,,UNKNOWN,020,INSTRUMENTAL - PULSED FLUORESCENT,,,,,,"ST.MARY'S CONVENT, 129 E.PARKER",Iowa,Black Hawk,Waterloo,"Waterloo-Cedar Falls, IA",,2025-11-25
18,037,2001,42602,Nitrogen dioxide (NO2),2,38.391799,-86.929668,NAD83,1974,1980-03-16,UNKNOWN,,,,,,UNKNOWN,084,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,,,,,Jasper PO,206 E 6TH ST- Jasper Post Office,Indiana,Dubois,Jasper,"Jasper, IN",,2025-11-25
12,009,0009,42602,Nitrogen dioxide (NO2),1,28.481946,-80.773943,WGS84,1978,1981-12-30,UNKNOWN,,,,,,UNKNOWN,084,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,,,,,,US 1 & KINGS HIGHWAY,Florida,Brevard,Not in a city,"Palm Bay-Melbourne-Titusville, FL",,2025-11-25
56,005,0123,42401,Sulfur dioxide,1,44.6522,-105.2903,WGS84,2005,2007-12-29,EPA,IMPROVE,National Park Service,National Park Service,National Park Service,,OTHER,811,"IMPROVE Module D with Cyclone Inlet-Quartz Filter, 2.2 sq. cm. - Ion Chromatography",,,,,Thunder Basin,THUNDER BASIN GRASSLAND SITE 35 MI N-NE GILLETTE WY,Wyoming,Campbell,Not in a City,"Gillette, WY",,2025-11-25
06,111,5001,42602,Nitrogen dioxide (NO2),1,34.145561,-119.201497,WGS84,1976,1977-06-24,UNKNOWN,,,,,,UNKNOWN,014,INSTRUMENTAL - CHEMILUMINESCENCE,,,,,,"NAVAL CIVIL ENG. LAB., PORT HUENEME",California,Ventura,Port Hueneme,"Oxnard-Thousand Oaks-Ventura, CA",,2025-11-25
49,047,7022,42602,Nitrogen dioxide (NO2),1,40.483598,-109.906796,WGS84,2011,2025-06-30,TRIBAL,,"Ute Indian Tribe of Uintah & Ouray Reservation, UT","Ute Indian Tribe of Uintah & Ouray Reservation, UT","Ute Indian Tribe of Uintah & Ouray Reservation, UT",All (2009-02-01 - 2011-03-21); All (2013-01-21 - 2013-09-05); All (2014-10-01 - 2014-10-31),GENERAL/BACKGROUND,599,Instrumental - Chemiluminescence Teledyne API 200 EU/501,URBAN SCALE,4 KM TO 50 KM,Y,,STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL,WHITEROCKS & COUNTY ROAD,Utah,Uintah,Not in a City,"Vernal, UT","Ute Indian Tribe of Uintah & Ouray Reservation, UT",2025-11-25
56,021,0004,42401,Sulfur dioxide,1,41.08536,-104.52277,WGS84,2023,2024-06-11,SPM,,"Wyoming Air Quality Division, Dept Of Environmental Quality","Wyoming Air Quality Division, Dept Of Environmental Quality","Wyoming Air Quality Division, Dept Of Environmental Quality",All (2023-01-27 - 2024-06-11),POPULATION EXPOSURE; SOURCE ORIENTED,600,Instrumental - Ultraviolet Fluorescence API 100 EU,URBAN SCALE,4 KM TO 50 KM,,,Laramie County Mobile,Laramie County Road 140,Wyoming,Laramie,Not in a City,"Cheyenne, WY",,2025-11-25
