State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
42,125,0005,88101,7,40.146667,-79.902222,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,10/25/2023,Micrograms/cubic meter (LC),None,1,100,6.3,6.3,0,35,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",7/9/2025
06,111,0009,88101,3,34.404281,-118.80998,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,4/14/2023,Micrograms/cubic meter (LC),None,1,100,6,6,0,33,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Piru - Pacific,"3301 PACIFIC AVENUE, PIRU, CA  93040",California,Ventura,Piru,"Oxnard-Thousand Oaks-Ventura, CA",5/21/2024
04,021,3015,88101,3,32.884761,-112.03705,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,11/7/2023,Micrograms/cubic meter (LC),None,1,100,15.9,15.9,0,64,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,HIDDEN VALLEY,43750 W. CAREFREE PLACE,Arizona,Pinal,Stanfield,"Phoenix-Mesa-Scottsdale, AZ",5/21/2024
50,007,0014,88101,23,44.4762,-73.2106,WGS84,PM2.5 - Local Conditions,1 HOUR,,2/4/2023,Micrograms/cubic meter (LC),None,10,42,6.41,7.6,17,,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,City of Burlington Parking Lot,"150 SOUTH WINOOSKI AVENUE, Burlington, Vermont",Vermont,Chittenden,Burlington,"Burlington-South Burlington, VT",4/10/2025
19,113,0040,88101,1,41.97677,-91.68766,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,5/3/2023,Micrograms/cubic meter (LC),None,1,100,4.7,4.7,0,26,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Public Health,500 11TH ST NW,Iowa,Linn,Cedar Rapids,"Cedar Rapids, IA",3/25/2025
17,201,0118,88101,23,42.267,-89.08917,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,7/31/2023,Micrograms/cubic meter (LC),None,1,100,6.4,6.4,0,36,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,Rockford Fire Department Admin. Bldg,Fire Department Admin. Bldg 204 South 1st Street,Illinois,Winnebago,Rockford,"Rockford, IL",8/8/2024
17,031,4007,88101,3,42.060285,-87.863225,WGS84,PM2.5 - Local Conditions,1 HOUR,,9/11/2023,Micrograms/cubic meter (LC),Included,24,100,10.8625,14.8,0,,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,REGIONAL OFFICE BUILDING,9511 W. HARRISON ST,Illinois,Cook,Des Plaines,"Chicago-Naperville-Elgin, IL-IN-WI",8/8/2024
10,001,0002,88101,23,38.986681,-75.556818,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,1/9/2023,Micrograms/cubic meter (LC),None,1,100,9.2,9.2,0,51,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,Not in a city,"Dover, DE",6/25/2025
49,049,5010,88101,3,40.136378,-111.657936,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,7/21/2023,Micrograms/cubic meter (LC),None,1,100,8.5,8.5,0,47,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Spanish Fork,"312 W. 2050 NORTH, SPANISH FORK, UTAH",Utah,Utah,Spanish Fork,"Provo-Orem, UT",8/7/2024
06,089,0004,88101,3,40.55013,-122.38092,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,3/11/2023,Micrograms/cubic meter (LC),None,1,100,4.5,4.5,0,25,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,Redding - Health Department,"HLTH CTR-2630 BRESLAUER WAY, REDDING",California,Shasta,Redding,"Redding, CA",6/5/2024
