OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,MD007-383248076410703,PG1962G107,Well,,02060006,,,,,38.54666667000000,-76.6852777800000,,1,minutes,Reported.,NAD83,,,,,,,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Patuxent Formation,Confined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-384035076565001,PG1989G006,Well,,02070010,,,,,38.67638889000000,-76.9472222000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Magothy Formation,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-384651077004901,PG2005G016,Well,,02070010,,,,,38.78083330000000,-77.0136111000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Quaternary System,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-384820076563701,PG2013G001,Well,,02070010,,,,,38.80555556000000,-76.9436111000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Quaternary System,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-385733076540401,PG2014G001,Well,,02070010,,,,,38.95916667000000,-76.9011111000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Quaternary System,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-390646076523501,PG2012G002,Well,,02060006,,,,,39.11277778000000,-76.8763888900000,,1,minutes,Unknown.,NAD83,,,,,,,US,24,033,Other aquifers,,Artifical Fill,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-92403312015002,PG2015G002,Aggregate groundwater use,,,,,,,,,,,,Unknown,,,,,,,,US,24,033,Northern Atlantic Coastal Plain aquifer system,,Upland Deposits,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-92403322015003,PG2015S003,Aggregate surface-water-use,,,,,,,,,,,,Unknown,,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-92403322016001,PG2016S001,Aggregate surface-water-use,,,,,,,,,,,,Unknown,,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-92403322016002,PG2016S002,Aggregate surface-water-use,,,,,,,,,,,,Unknown,,,,,,,,US,24,033,,,,,,,,,,NWIS
